execution,arm,workload,slo_class,n,ttft_mean,ttft_p50,ttft_p95,ttft_p99,tpot_mean,tpot_p50,tpot_p95,tpot_p99,e2e_mean,e2e_p50,e2e_p95,e2e_p99
results.3,quartic,balanced_10,sheddable,2416.0,151.35188369205298,136.7905,265.97749999999996,370.6654499999993,31.89938746552462,30.886050169815064,44.83054151929498,48.416778901758896,8241.589535182118,8028.9015,12816.1255,15274.248849999996
results.3,quartic,balanced_15,critical,3632.0,10743.0864529185,10354.8215,18139.2696,23870.370260000003,71.49442573598637,71.57339808529042,79.67647857704402,85.86710481250002,28980.260957599123,28768.817499999997,40630.71074999999,45303.2172
results.3,quartic,balanced_15,sheddable,3667.0,87495.79107826561,102156.689,152155.05789999999,156621.83737999998,65.78435230048328,67.34314864864865,73.37041154791154,75.52467288244767,104309.33843141532,111756.685,170338.61959999998,177205.10714
results.3,quartic,balanced_5,critical,1135.0,95.26748810572687,88.42,147.53819999999996,171.97106000000016,18.36783058825088,18.2863515625,20.553811237067023,21.224208586930118,4753.64876475771,4764.857,6558.2915,7502.060540000002
results.3,quartic,balanced_5,sheddable,1165.0,96.30129098712446,88.592,150.2086,193.42803999999975,18.362579099320744,18.21990263157895,20.614942100694442,21.3071527254857,4759.693011158798,4739.823,6768.3225999999995,7585.963919999995
results.3,quartic,balanced_8,critical,1877.0,133.387115610016,105.72,213.93979999999988,707.7489200000003,23.893185016983747,23.328788288288287,30.189576203786302,32.559465429898665,6228.989660628663,6177.217,9121.409199999998,10671.76324
results.3,quartic,balanced_8,sheddable,1923.0,136.11283307332295,108.845,222.9327999999997,808.0304199999996,23.927820979838295,23.216653631284917,30.679991631117954,34.13612002944869,6199.231008840354,6136.564,9162.6903,10698.78098
results.3,quarticceiling,balanced_10,critical,2384.0,168.0635826342282,135.80200000000002,314.56975,532.5937000000001,32.55998503609171,31.782718365770776,45.38644872027758,48.27923672466686,8482.46386031879,8320.0295,13020.968599999998,15133.66904
results.3,quarticceiling,balanced_10,sheddable,2416.0,187.4750442880795,142.8585,395.00075000000004,1087.4599499999988,32.50635932369035,31.557819963369965,45.4598905924573,48.45190084459459,8430.482697019866,8188.7505,13036.37,15653.87085
results.3,quarticceiling,balanced_15,critical,3633.0,4114.855306358382,3255.352,12630.854799999992,15332.34024,58.816161141989575,58.917570680628266,69.14092746721876,74.25374385093163,19173.157969997246,18625.961,29825.327799999985,35614.89672
results.3,quarticceiling,balanced_15,sheddable,3667.0,114631.94628197436,132417.428,181842.85139999999,187367.13220000002,59.6540171601083,60.80304057971015,72.94707349498329,80.33120837578697,129856.08827924734,146201.312,196908.4912,205112.25870000003
results.3,quarticceiling,balanced_5,critical,1135.0,112.96465110132159,87.982,156.0975,867.2049400000002,18.432023000627833,18.3020703125,20.590431298944498,21.518499251072964,4787.945017621145,4801.603,6619.7108,7609.38554000001
results.3,quarticceiling,balanced_5,sheddable,1165.0,115.67808497854075,88.387,167.9464,1088.4103999999925,18.42979657259955,18.26096103896104,20.67449524236335,21.66022700046199,4796.306156223176,4764.937,6821.243599999999,7735.602559999997
results.3,quarticceiling,balanced_8,critical,1877.0,133.1358705380927,115.982,240.19319999999996,322.9279600000001,26.574200535055553,25.720003496503498,36.11067647773279,38.91579144615385,6912.589128929142,6773.045,10454.9144,12779.999960000001
results.3,quarticceiling,balanced_8,sheddable,1923.0,136.15203276131044,121.508,238.24819999999994,324.18616,26.646249014347912,25.57878909090909,36.70136029326115,40.451013677918425,6888.956316172646,6739.584,10705.145699999995,12873.84572
